,school_years,mortality_5,poverty_percentage,ferr_rate
847,11.75351,68.8272,14.3,65.691
848,13.7588,3.3641,0.5,8.073
849,13.79488,3.2024,0.7,8.381
850,13.76092,3.5724,0.6,9.079
851,13.67158,3.6871,0.9,9.757
852,13.51541,3.8328,0.5,10.888
853,13.28184,3.8543,0.6,11.98
854,13.21336,4.0533,0.4,13.372
855,13.09873,4.2199,0.3,13.021
856,12.98085,4.2715,0.6,12.191
857,12.93143,4.5517,0.6,11.565
858,12.80042,4.8327,0.6,11.121
859,12.70027,4.9685,0.6,10.843
860,12.64471,5.397,0.5,9.285
861,12.55666,5.5525,0.4,8.717
862,12.6268,5.8736,0.6,8.046
863,13.1134,6.2635,0.6,7.822
864,13.3001,6.9184,0.9,7.561
865,13.24096,6.7455,0.7,7.701
866,13.16025,7.307,0.7,8.255
867,12.97925,8.0568,0.8,9.081
868,12.2822,9.3937,0.3,11.679
869,11.81761,10.7095,0.0,18.364
870,11.45358,14.4816,0.2,24.885
871,12.90915,10.4634,0.4,22.038
872,11.68559,19.9438,2.2,28.573
873,11.25065,22.8274,2.1,30.326
874,10.31551,30.2121,3.5,36.343
875,6.28011,77.9793,5.2,99.88
876,14.71066,2.6208,0.3,5.37
877,14.5446,3.1231,0.5,5.765
878,11.98874,3.1037,0.4,5.878
879,11.82781,2.5867,0.4,6.253
880,11.97882,3.1479,0.4,6.263
881,12.00104,3.2948,0.3,6.062
882,12.06001,3.0332,0.5,5.953
883,11.99825,3.1601,0.3,5.88
884,11.9849,3.5317,0.3,5.826
885,12.00549,3.267,0.8,5.739
886,12.04786,3.6138,0.3,5.795
887,14.72741,3.9296,0.2,5.974
888,15.08511,4.0959,0.0,6.532
889,15.30954,3.9462,0.0,7.055
890,13.77268,4.6797,0.1,8.847
891,11.524,6.2285,0.0,12.278
892,11.2547,7.4035,0.1,11.266
893,11.06647,7.8683,0.2,13.801
894,10.97191,10.0508,0.3,29.012
895,13.1679,4.4875,0.0,3.061
896,13.12066,4.4918,0.0,3.207
897,12.95217,4.2999,0.0,3.542
898,12.94852,4.3691,0.0,3.627
899,12.90928,4.3992,0.0,4.083
900,12.86612,4.9567,0.0,4.276
901,12.86111,4.5848,0.0,4.417
902,12.83188,4.634,0.0,4.489
903,12.82773,5.1486,0.0,4.674
904,12.79829,5.5311,0.0,5.618
905,13.02765,5.8182,0.0,6.168
906,12.33651,7.7035,0.5,7.827
907,11.65464,9.5588,0.6,9.582
908,9.87922,20.6894,0.2,54.779
909,8.87425,27.7919,0.4,70.476
910,9.8293,44.3938,1.4,45.191
911,9.66169,48.8752,4.5,37.788
912,9.51304,60.0839,5.0,37.585
913,9.52626,65.2195,10.5,38.881
914,8.71586,90.0007,21.2,48.664
915,10.996,11.8998,0.0,49.803
916,11.01081,12.442,0.0,51.549
917,11.03645,13.2277,0.0,52.02
918,10.77621,13.6698,0.0,50.765
919,10.69466,14.2584,0.0,51.274
920,10.55396,14.9219,0.0,51.162
921,10.46958,15.6438,0.1,50.167
922,10.10585,16.4995,0.2,49.294
923,9.92873,19.1185,0.2,46.535
924,9.7342,19.9566,0.3,38.292
925,9.29111,24.3337,0.4,46.547
926,8.75103,27.0137,0.5,48.814
927,8.45733,29.9768,0.8,49.355
928,8.03275,33.2922,1.7,50.434
929,7.63654,37.1252,2.5,51.146
930,7.55369,41.5719,3.7,50.355
931,7.55368,58.0742,5.8,59.946
932,12.92693,51.7956,5.1,39.963
933,9.32281,101.8222,12.3,60.764
934,11.45788,86.3891,26.7,84.963
935,10.351,100.415,24.9,85.456
936,12.71587,14.3967,0.3,21.177
937,12.942,17.1923,0.7,23.819
938,10.62172,29.2702,0.5,56.445
939,11.13765,31.4197,0.0,64.014
940,12.74406,18.4266,0.3,6.999
941,12.56842,22.0699,0.5,6.676
942,12.08736,29.9331,0.8,7.702
943,10.95427,42.7972,2.1,14.295
944,10.08777,55.3742,2.1,18.624
945,9.50513,70.787,3.0,30.968
946,10.73516,81.3183,15.7,133.408
947,10.19015,106.8299,22.4,144.538
948,11.2958,131.677,27.8,158.333
949,5.07075,174.1932,27.2,182.825
950,11.1193,9.3488,0.0,28.32
951,11.14856,9.6437,0.0,28.337
952,11.01557,10.2212,0.0,29.609
953,10.70187,10.7501,0.0,29.72
954,10.63778,11.031,0.0,30.23
955,10.47051,11.3645,0.0,32.642
956,10.4892,12.6787,0.0,32.961
957,10.56084,13.2838,0.0,31.492
958,10.6581,12.8675,0.0,30.502
959,10.79975,13.4288,0.1,29.858
960,10.86502,13.35,0.1,30.018
961,11.20736,14.2557,0.2,29.266
962,11.14905,15.6525,0.5,28.957
963,9.82782,21.808,0.4,61.192
964,9.86937,21.4939,0.9,61.554
965,12.2019,10.0041,0.0,62.924
966,12.15597,10.9842,0.1,64.922
967,12.24315,11.3886,0.1,65.45
968,12.13541,11.8871,0.1,65.588
969,12.38693,12.4833,0.1,65.74
970,12.93982,13.1134,0.1,67.703
971,10.88929,50.3962,37.8,11.836
972,10.07901,60.7181,38.4,20.941
973,11.69079,29.2328,3.6,70.606
